"unique.fish.all.SpCode."
"ASHANNY"
"BUFSCUL"
"CHUMSAL"
"DOLLY"
"GRTSCUL"
"ROCSOLE"
"STASCUL"
"STFLOUN"
"NSCUL"
"PINKSAL"
"TUBEPOA"
"CREGUNN"
"RILORD"
"CRESCUL"
"SILSCUL"
"WGREEN"
"TIDSCUL"
"COHOSAL"
"PCOD"
"HERRING"
"QUIROCK"
"POLLOCK"
"PSANDL"
"YELSOLE"
"STEEL"
"PSANDF"
"CUTTH"
"DRKROCK"
"ARMSCUL"
"EULAC"
"LINGCOD"
"UNSMELT"
"UNROCK"
"CAPELIN"
"SUSMELT"
"UNGREEN"
"SOCKSAL"
"UNLARV"
"TUBESNT"
"COPROCK"
"COSOLE"
"UNCOD"
"KEGREEN"
"SHPERCH"
"PSDAB"
"BLAROCK"
"MAGREEN"
"ROGREEN"
"LSCUL"
"SPILUMP"
"UNFLAT"
"ENGSOLE"
"SCASCUL"
"SNPRICK"
"STURPOA"
"NRONQL"
"3STICK"
"FROSCUL"
"BAYPIPE"
"UNSCUL"
"PENGUNN"
"CHINSAL"
"ANTSCUL"
"SPKSDAB"
"PADSCUL"
"BILORD"
"UNGUNN"
"KEPERCH"
"BEGOBY"
"SLCOCKS"
"BROROCK"
"SABLE"
"BAYGOBY"
"PAGREEN"
"BOCA"
"CHIROCK"
"AKPLAIC"
"SPERPOA"
"SMOSCUL"
"TISNAILF"
"RBSCUL"
"UNLORD"
"MANSCUL"
"SFSCUL"
"PYGPOA"
"SOFSCUL"
"UNSNAILF"
"UNPRICK"
"DOVSOLE"
"SADSCUL"
"UNMYOXO"
"RSNAILF"
"SHSCUL"
"UNRONQL"
"BLPRICK"
"UNLUMP"
"YTROCK"
